# 100 best cf ips scanned at 2026-09-22 04:34
172.64.229.243:443#JP 🇯🇵
172.64.148.7:443#SG 🇸🇬
172.64.157.194:443#SG 🇸🇬
172.64.147.78:443#SG 🇸🇬
172.64.151.222:443#SG 🇸🇬
172.64.144.137:443#SG 🇸🇬
172.64.153.228:443#SG 🇸🇬
172.64.150.165:443#SG 🇸🇬
172.64.158.117:443#SG 🇸🇬
172.64.159.45:443#SG 🇸🇬
172.64.154.32:443#SG 🇸🇬
172.64.145.32:443#SG 🇸🇬
172.64.156.157:443#SG 🇸🇬
172.64.146.222:443#SG 🇸🇬
172.64.155.41:443#SG 🇸🇬
172.64.149.91:443#SG 🇸🇬
8.39.125.139:443#SG 🇸🇬
172.64.152.107:443#SG 🇸🇬
104.18.41.189:443#SG 🇸🇬
104.18.38.115:443#SG 🇸🇬
8.35.211.86:443#SG 🇸🇬
104.19.100.245:443#US 🇺🇸
104.16.135.151:443#US 🇺🇸
104.19.205.68:443#US 🇺🇸
104.17.140.59:443#US 🇺🇸
104.19.152.140:443#US 🇺🇸
104.16.3.164:443#US 🇺🇸
104.17.87.61:443#US 🇺🇸
104.18.186.7:443#US 🇺🇸
104.18.217.156:443#US 🇺🇸
104.17.25.183:443#US 🇺🇸
104.18.215.150:443#US 🇺🇸
104.17.11.175:443#US 🇺🇸
104.18.180.38:443#US 🇺🇸
104.16.73.58:443#US 🇺🇸
104.16.91.110:443#US 🇺🇸
104.16.193.66:443#US 🇺🇸
8.39.214.199:443#US 🇺🇸
104.16.57.233:443#US 🇺🇸
104.17.145.41:443#US 🇺🇸
104.18.210.168:443#US 🇺🇸
104.19.180.200:443#US 🇺🇸
104.16.58.160:443#US 🇺🇸
104.16.148.104:443#US 🇺🇸
104.18.206.161:443#US 🇺🇸
162.159.248.21:443#US 🇺🇸
104.18.242.117:443#US 🇺🇸
104.16.98.167:443#US 🇺🇸
104.16.130.177:443#US 🇺🇸
104.17.54.175:443#US 🇺🇸
104.17.68.205:443#US 🇺🇸
104.18.112.36:443#US 🇺🇸
104.16.199.15:443#US 🇺🇸
104.16.233.92:443#US 🇺🇸
104.18.216.214:443#US 🇺🇸
104.19.230.137:443#US 🇺🇸
104.16.71.57:443#US 🇺🇸
104.16.89.117:443#US 🇺🇸
104.16.177.188:443#US 🇺🇸
